occupation_name,technology_skills
Accountants and Auditors,"Accounting software — Intuit QuickBooks
Accounting software — Sage 50 Accounting
Accounting software — SAP Concur
Accounting software — Summit Software Summit Biofuels Accounting
Accounting software — 39 more Related occupations
Analytical or scientific software — Guidance Software EnCase Enterprise
Analytical or scientific software — IBM SPSS Statistics
Analytical or scientific software — SAS
Analytical or scientific software — WizSoft WizRule
Analytical or scientific software — 2 more Related occupations
Business intelligence and data analysis software — Alteryx software
Business intelligence and data analysis software — IBM Cognos Impromptu
Business intelligence and data analysis software — Oracle Business Intelligence Enterprise Edition
Business intelligence and data analysis software — Tableau
Business intelligence and data analysis software — 1 more Related occupations
Compliance software — Intrax ProcedureNet
Compliance software — Sage HandiSoft HandiLedger
Compliance software — Tax compliance property tax management software
Compliance software — TrendTracker Compliance Solution
Compliance software — 9 more Related occupations
Customer relationship management CRM software — Blackbaud The Raiser's Edge
Customer relationship management CRM software — Salesforce software Related occupations
Data base management system software — Apache Solr
Data base management system software — Teradata Database Related occupations
Data base reporting software — ADP Super Report Writer
Data base reporting software — SAP Crystal Reports Related occupations
Data base user interface and query software — Microsoft SQL Server
Data base user interface and query software — Oracle Database
Data base user interface and query software — Structured query language SQL
Data base user interface and query software — Yardi software
Data base user interface and query software — 8 more Related occupations
Data mining software — Data extraction software
Data mining software — WizSoft WizWhy Related occupations
Desktop communications software — Eko Related occupations
Desktop publishing software — Microsoft Publisher Related occupations
Development environment software — eXtensible Business Reporting Language XBRL
Development environment software — Microsoft Visual Basic
Development environment software — Microsoft Visual Basic for Applications VBA Related occupations
Document management software — Adobe Acrobat
Document management software — Document management system software
Document management software — Microsoft SharePoint
Document management software — Sage CPADocument Manager
Document management software — 2 more Related occupations
Electronic mail software — IBM Notes
Electronic mail software — Microsoft Exchange
Electronic mail software — Microsoft Outlook Related occupations
Enterprise application integration software — SAP BusinessObjects Data Integrator Related occupations
Enterprise resource planning ERP software — Microsoft Dynamics
Enterprise resource planning ERP software — Oracle PeopleSoft
Enterprise resource planning ERP software — SAP software
Enterprise resource planning ERP software — Workday software
Enterprise resource planning ERP software — 17 more Related occupations
Enterprise system management software — IBM Power Systems software Related occupations
Financial analysis software — Delphi Technology
Financial analysis software — Oracle E-Business Suite Financials
Financial analysis software — TopCAATs
Financial analysis software — Tropics workers' compensation software
Financial analysis software — 53 more Related occupations
Human resources software — ADP Workforce Now
Human resources software — CPSI EHR System
Human resources software — Human resource management software HRMS
Human resources software — Sage HRMS Related occupations
Information retrieval or search software — LexisNexis Related occupations
Inventory management software — Asset management software Related occupations
Medical software — Epic Systems
Medical software — Medical condition coding software
Medical software — Medical procedure coding software
Medical software — MEDITECH software
Medical software — 1 more Related occupations
Object or component oriented development software — R
Object or component oriented development software — Swift Related occupations
Office suite software — Corel WordPerfect Office Suite
Office suite software — Microsoft Office software
Office suite software — Microsoft Works Related occupations
Operating system software — Microsoft Windows
Operating system software — UNIX Related occupations
Presentation software — Google Slides
Presentation software — Microsoft PowerPoint Related occupations
Process mapping and design software — Microsoft Visio Related occupations
Project management software — Microsoft Project
Project management software — Oracle Primavera Enterprise Project Portfolio Management Related occupations
Risk management data and analysis software — Thomson Reuters Risk Management Related occupations
Spreadsheet software — Google Sheets
Spreadsheet software — Microsoft Excel Related occupations
Tax preparation software — ATX Total Tax Office
Tax preparation software — Intuit TurboTax
Tax preparation software — NewPortWave Year End Solutions
Tax preparation software — Thomson GoSystem Tax
Tax preparation software — 18 more Related occupations
Time accounting software — Payroll software
Time accounting software — WorkForce Software EmpCenter Time and Attendance Related occupations
Transaction security and virus protection software — NortonLifeLock cybersecurity software Related occupations
Transaction server software — Tumbleweed SecureTransport Related occupations
Video creation and editing software — TechSmith Camtasia Related occupations
Word processing software — Google Docs
Word processing software — Microsoft OneNote
Word processing software — Microsoft Word Related occupations"
Actors,"Data base user interface and query software — FileMaker Pro Related occupations
Electronic mail software — Email software
Electronic mail software — Microsoft Outlook Related occupations
Instant messaging software — Twitter Related occupations
Internet browser software — Web browser software Related occupations
Office suite software — Microsoft Office software Related occupations
Operating system software — Linux Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Video conferencing software — Zoom Related occupations
Video creation and editing software — Apple Final Cut Pro
Video creation and editing software — Motion capture software
Video creation and editing software — TikTok
Video creation and editing software — YouTube Related occupations
Web page creation and editing software — Facebook
Web page creation and editing software — Instagram
Web page creation and editing software — LinkedIn
Web page creation and editing software — Website development software Related occupations
Word processing software — Microsoft Word Related occupations"
Actuaries,"Analytical or scientific software — IBM SPSS Statistics
Analytical or scientific software — Insightful S-PLUS
Analytical or scientific software — SAS
Analytical or scientific software — Statistical software
Analytical or scientific software — 1 more Related occupations
Business intelligence and data analysis software — Microsoft Power BI
Business intelligence and data analysis software — Qlik Tech QlikView
Business intelligence and data analysis software — Tableau Related occupations
Compliance software — Compliance testing software Related occupations
Data base user interface and query software — Microsoft Access
Data base user interface and query software — Microsoft SQL Server
Data base user interface and query software — Oracle Database
Data base user interface and query software — Structured query language SQL
Data base user interface and query software — 2 more Related occupations
Development environment software — Microsoft Visual Basic
Development environment software — Microsoft Visual Basic for Applications VBA Related occupations
Electronic mail software — IBM Lotus Notes Related occupations
Financial analysis software — GGY AXIS
Financial analysis software — Oak Mountain Software AnnuityValue
Financial analysis software — Pricing software
Financial analysis software — Towers Perrin MoSes
Financial analysis software — 9 more Related occupations
Object or component oriented development software — C++
Object or component oriented development software — Oracle Java
Object or component oriented development software — Python
Object or component oriented development software — R Related occupations
Object oriented data base management software — Microsoft Visual FoxPro Related occupations
Office suite software — Microsoft Office software Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Process mapping and design software — Microsoft Visio Related occupations
Project management software — Microsoft Project Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Word processing software — Microsoft Word Related occupations"
Acupuncturists,"Electronic mail software — Microsoft Outlook Related occupations
Medical software — Electronic health record EHR software
Medical software — Miridia Technology AcuGraph
Medical software — QPuncture II
Medical software — Trigram Software AcuBase Pro
Medical software — 3 more Related occupations
Office suite software — Microsoft Office software Related occupations
Operating system software — Microsoft Windows Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Word processing software — Microsoft Word Related occupations"
Acute Care Nurses,"Data base user interface and query software — Microsoft Access Related occupations
Electronic mail software — IBM Lotus Notes
Electronic mail software — Microsoft Outlook Related occupations
Enterprise resource planning ERP software — SAP software Related occupations
Medical software — Bizmatics PrognoCIS EMR
Medical software — eClinicalWorks EHR software
Medical software — GE Healthcare Centricity EMR
Medical software — StatCom Patient Flow Logistics Enterprise Suite
Medical software — 11 more Related occupations
Office suite software — Microsoft Office software Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Project management software — Microsoft Teams Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Word processing software — Microsoft Word Related occupations"
Adapted Physical Education Specialists,"Data base user interface and query software — Database software
Data base user interface and query software — Individualized Educational Program IEP software
Data base user interface and query software — Student record software Related occupations
Electronic mail software — Email software
Electronic mail software — Microsoft Outlook Related occupations
Internet browser software — Web browser software Related occupations
Office suite software — Microsoft Office software Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Web page creation and editing software — Facebook Related occupations
Word processing software — Microsoft Word Related occupations"
Adhesive Bonding Machine Operators and Tenders,"Enterprise resource planning ERP software — SAP software Related occupations
Office suite software — Microsoft Office software Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Word processing software — Microsoft Word Related occupations"
"Administrative Law Judges, Adjudicators, and Hearing Officers","Data base user interface and query software — Microsoft Access
Data base user interface and query software — Online databases Related occupations
Document management software — Adobe Acrobat Related occupations
Electronic mail software — Email software
Electronic mail software — Microsoft Outlook Related occupations
Enterprise resource planning ERP software — SAP software Related occupations
Information retrieval or search software — LexisNexis
Information retrieval or search software — Thomson Reuters Westlaw Related occupations
Instant messaging software — Related occupations
Internet browser software — Web browser software Related occupations
Legal management software — Courtroom scheduling software Related occupations
Office suite software — Microsoft Office software Related occupations
Operating system software — Microsoft Windows Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Video conferencing software — Videoconferencing software Related occupations
Word processing software — Microsoft Word Related occupations"
Administrative Services Managers,"Accounting software — Fund accounting software
Accounting software — Intuit QuickBooks
Accounting software — Sage 50 Accounting Related occupations
Analytical or scientific software — IBM SPSS Statistics
Analytical or scientific software — Minitab
Analytical or scientific software — SAS Related occupations
Cloud-based data access and sharing software — Google Drive Related occupations
Computer aided design CAD software — Autodesk AutoCAD Related occupations
Content workflow software — Atlassian JIRA Related occupations
Customer relationship management CRM software — Blackbaud The Raiser's Edge Related occupations
Data base management system software — Teradata Database Related occupations
Data base reporting software — SAP BusinessObjects Crystal Reports Related occupations
Data base user interface and query software — Database software
Data base user interface and query software — Microsoft Access
Data base user interface and query software — Sage 300 Construction and Real Estate
Data base user interface and query software — Yardi software
Data base user interface and query software — 1 more Related occupations
Desktop publishing software — Adobe PageMaker
Desktop publishing software — Microsoft Publisher Related occupations
Document management software — Adobe Acrobat
Document management software — Microsoft SharePoint Related occupations
Electronic mail software — Email software
Electronic mail software — IBM Notes
Electronic mail software — MicroFocus GroupWise
Electronic mail software — Microsoft Outlook Related occupations
Enterprise resource planning ERP software — Microsoft Dynamics
Enterprise resource planning ERP software — Microsoft Dynamics GP
Enterprise resource planning ERP software — Oracle PeopleSoft
Enterprise resource planning ERP software — SAP software
Enterprise resource planning ERP software — 4 more Related occupations
Enterprise system management software — IBM Power Systems software Related occupations
Financial analysis software — Delphi Technology Related occupations
Human resources software — ADP Enterprise HR
Human resources software — ADP Workforce Now
Human resources software — Human resource management software HRMS Related occupations
Industrial control software — Supervisory control and data acquisition SCADA software Related occupations
Information retrieval or search software — LexisNexis Related occupations
Instant messaging software — GroupMe Related occupations
Internet browser software — Microsoft Internet Explorer
Internet browser software — Web browser software Related occupations
Medical software — Medical procedure coding software
Medical software — PracticeWorks Systems Kodak WINOMS CS Related occupations
Object or component oriented development software — R Related occupations
Office suite software — Microsoft Office software Related occupations
Operating system software — Microsoft Windows XP Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Process mapping and design software — Microsoft Visio Related occupations
Project management software — Microsoft Project
Project management software — Oracle Primavera Enterprise Project Portfolio Management Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Web page creation and editing software — LinkedIn Related occupations
Word processing software — Google Docs
Word processing software — Microsoft Word Related occupations"
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Computer based training software — Blackboard software
Computer based training software — Computerized testing software
Computer based training software — Learning management system LMS
Computer based training software — Quizlet
Computer based training software — 1 more Related occupations
Desktop communications software — Edmodo Related occupations
Desktop publishing software — Microsoft Publisher Related occupations
Electronic mail software — Microsoft Outlook Related occupations
Enterprise resource planning ERP software — SAP software Related occupations
Graphics or photo imaging software — Adobe Photoshop Related occupations
Internet browser software — Web browser software Related occupations
Multi-media educational software — Edpuzzle
Multi-media educational software — Kahoot! Related occupations
Office suite software — Google Workspace software
Office suite software — Microsoft Office software Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Project management software — Google Classroom Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Video conferencing software — Zoom Related occupations
Web page creation and editing software — Facebook Related occupations
Word processing software — Microsoft Word Related occupations"
